;acc;loss;model;time;val_acc;val_loss
0;0.9942;0.0189;model1, kernel: (2,2), pool: (2, 2), dropout: 0.1 ;798.77;0.9876;0.0353
1;0.9931;0.0217;model1, kernel: (2,2), pool: (2, 2), dropout: 0.2 ;752.98;0.9881;0.0389
2;0.9931;0.0233;model1, kernel: (2,2), pool: (2, 2), dropout: 0.3 ;701.76;0.9875;0.0345
3;0.9912;0.0274;model1, kernel: (2,2), pool: (2, 2), dropout: 0.4 ;700.51;0.9877;0.0347
4;0.9898;0.0314;model1, kernel: (2,2), pool: (2, 2), dropout: 0.5 ;700.3;0.9878;0.036
5;0.9947;0.0169;model1, kernel: (7,7), pool: (2, 2), dropout: 0.1 ;1394.73;0.992;0.0251
6;0.9944;0.0181;model1, kernel: (7,7), pool: (2, 2), dropout: 0.2 ;1394.57;0.9923;0.0237
7;0.993;0.0217;model1, kernel: (7,7), pool: (2, 2), dropout: 0.3 ;1391.01;0.99;0.0327
8;0.9924;0.0249;model1, kernel: (7,7), pool: (2, 2), dropout: 0.4 ;1393.53;0.9913;0.025
9;0.9908;0.0287;model1, kernel: (7,7), pool: (2, 2), dropout: 0.5 ;1391.83;0.9926;0.0237
10;0.903;0.3228;model1, kernel: (12,12), pool: (2, 2), dropout: 0.1 ;923.21;0.9329;0.2184
11;0.8796;0.3949;model1, kernel: (12,12), pool: (2, 2), dropout: 0.2 ;924.76;0.9112;0.2739
12;0.8059;0.6254;model1, kernel: (12,12), pool: (2, 2), dropout: 0.3 ;921.18;0.8595;0.4207
13;0.8091;0.6229;model1, kernel: (12,12), pool: (2, 2), dropout: 0.4 ;936.39;0.881;0.3703
14;0.7233;0.8662;model1, kernel: (12,12), pool: (2, 2), dropout: 0.5 ;922.02;0.8852;0.4344
15;0.9831;0.0568;model2, kernel: (2,2), pool: (2, 2) ;245.74;0.9797;0.0627
16;0.9898;0.0318;model2, kernel: (7,7), pool: (2, 2) ;306.65;0.9889;0.0324
17;0.9904;0.0299;model2, kernel: (12,12), pool: (2, 2) ;245.46;0.9878;0.0367
18;0.989;0.0355;model2, kernel: (17,17), pool: (2, 2) ;210.41;0.9807;0.0621
19;0.9876;0.0423;model3, kernel: (2,2);706.44;0.9768;0.0759
20;0.9918;0.0279;model3, kernel: (7,7);601.15;0.989;0.0326
21;0.9922;0.0257;model3, kernel: (12,12);432.85;0.9889;0.0347
22;0.9902;0.0314;model3, kernel: (17,17);292.67;0.9858;0.0461
23;0.9891;0.0374;model4, kernel1: (2,2), kernel2:(2, 2);548.24;0.9797;0.0601
24;0.9935;0.0212;model4, kernel1: (2,2), kernel2:(7, 7);2035.33;0.9898;0.0335
25;0.9929;0.0244;model4, kernel1: (2,2), kernel2:(12, 12);3476.31;0.9879;0.0413
26;0.9866;0.0514;model4, kernel1: (2,2), kernel2:(17, 17);3800.41;0.9817;0.0795
27;0.9918;0.0271;model4, kernel1: (7,7), kernel2:(2, 2);477.66;0.9883;0.0317
28;0.9934;0.0212;model4, kernel1: (7,7), kernel2:(7, 7);1342.83;0.9899;0.0352
29;0.9818;0.0725;model4, kernel1: (7,7), kernel2:(12, 12);1950.62;0.9767;0.1242
30;0.931;0.2887;model4, kernel1: (7,7), kernel2:(17, 17);1648.63;0.945;0.2227
31;0.9921;0.0253;model4, kernel1: (12,12), kernel2:(2, 2);366.18;0.9883;0.0352
32;0.9756;0.0934;model4, kernel1: (12,12), kernel2:(7, 7);763.37;0.978;0.0883
33;0.9154;0.3361;model4, kernel1: (12,12), kernel2:(12, 12);918.0;0.8569;0.4794
34;0.2494;1.9039;model4, kernel1: (12,12), kernel2:(17, 17);535.52;0.2903;1.8782
35;0.9889;0.0355;model4, kernel1: (17,17), kernel2:(2, 2);267.28;0.9848;0.0488
36;0.9898;0.0317;model4, kernel1: (17,17), kernel2:(7, 7);362.2;0.9852;0.0489
37;0.1124;2.3013;model4, kernel1: (17,17), kernel2:(12, 12);346.17;0.1135;2.301
