ID;model;test_acc;test_loss;train_acc;train_loss;val_acc;val_loss;iterations;time
0;model1, kernel: (2,2), pool: (2, 2), dropout: 0.1 ;[0.9734];[0.0861];[0.9175];[0.2665];[0.9748];[0.0928];1;[179.5]
1;model1, kernel: (2,2), pool: (2, 2), dropout: 0.2 ;[0.973];[0.0894];[0.9186];[0.2703];[0.9725];[0.0917];1;[168.49]
2;model1, kernel: (2,2), pool: (2, 2), dropout: 0.3 ;[0.9732];[0.0848];[0.9186];[0.2623];[0.9729];[0.0945];1;[180.02]
3;model1, kernel: (2,2), pool: (2, 2), dropout: 0.4 ;[0.974];[0.0816];[0.9108];[0.2878];[0.9745];[0.0887];1;[188.98]
4;model1, kernel: (2,2), pool: (2, 2), dropout: 0.5 ;[0.971];[0.0969];[0.9057];[0.3076];[0.969];[0.1055];1;[182.33]
5;model1, kernel: (7,7), pool: (2, 2), dropout: 0.1 ;[0.9844];[0.0462];[0.9351];[0.2093];[0.9842];[0.0528];1;[292.08]
6;model1, kernel: (7,7), pool: (2, 2), dropout: 0.2 ;[0.9804];[0.0602];[0.9359];[0.203];[0.9797];[0.0669];1;[303.32]
7;model1, kernel: (7,7), pool: (2, 2), dropout: 0.3 ;[0.9761];[0.0718];[0.9326];[0.2196];[0.9762];[0.0759];1;[311.94]
8;model1, kernel: (7,7), pool: (2, 2), dropout: 0.4 ;[0.9832];[0.0475];[0.9292];[0.2234];[0.9812];[0.0599];1;[304.95]
9;model1, kernel: (7,7), pool: (2, 2), dropout: 0.5 ;[0.9837];[0.0517];[0.9286];[0.2295];[0.9807];[0.0641];1;[451.84]
10;model1, kernel: (12,12), pool: (2, 2), dropout: 0.1 ;[0.8918];[0.3427];[0.6801];[0.9657];[0.8908];[0.3439];1;[227.05]
11;model1, kernel: (12,12), pool: (2, 2), dropout: 0.2 ;[0.8626];[0.4187];[0.6694];[1.0069];[0.8618];[0.4173];1;[182.03]
12;model1, kernel: (12,12), pool: (2, 2), dropout: 0.3 ;[0.6866];[0.8727];[0.5015];[1.4249];[0.6952];[0.8581];1;[172.89]
13;model1, kernel: (12,12), pool: (2, 2), dropout: 0.4 ;[0.7534];[0.9042];[0.4716];[1.5381];[0.7566];[0.8989];1;[183.27]
14;model1, kernel: (12,12), pool: (2, 2), dropout: 0.5 ;[0.6714];[1.147];[0.4227];[1.6343];[0.6769];[1.152];1;[181.17]
15;model2, kernel: (2,2), pool: (2, 2) ;[0.9543];[0.155];[0.8885];[0.3714];[0.9532];[0.1628];1;[62.95]
16;model2, kernel: (7,7), pool: (2, 2) ;[0.9763];[0.078];[0.9269];[0.2405];[0.9751];[0.0885];1;[64.7]
17;model2, kernel: (12,12), pool: (2, 2) ;[0.9758];[0.078];[0.9242];[0.2503];[0.9713];[0.0949];1;[55.04]
18;model2, kernel: (17,17), pool: (2, 2) ;[0.9676];[0.1065];[0.9099];[0.2985];[0.9615];[0.1196];1;[40.82]
19;model3, kernel: (2,2);[0.9608];[0.1432];[0.8961];[0.3437];[0.9588];[0.1505];1;[222.35]
20;model3, kernel: (7,7);[0.9753];[0.0793];[0.9345];[0.2114];[0.9721];[0.0931];1;[154.82]
21;model3, kernel: (12,12);[0.9738];[0.0884];[0.9298];[0.2406];[0.9702];[0.0996];1;[109.19]
22;model3, kernel: (17,17);[0.9666];[0.1089];[0.9157];[0.2727];[0.9667];[0.1127];1;[64.69]
23;model4, kernel1: (2,2), kernel2:(2, 2);[0.9721];[0.0963];[0.9135];[0.2903];[0.9709];[0.1076];1;[156.1]
24;model4, kernel1: (2,2), kernel2:(7, 7);[0.9797];[0.0652];[0.9404];[0.2005];[0.9777];[0.0734];1;[479.67]
25;model4, kernel1: (2,2), kernel2:(12, 12);[0.9786];[0.0689];[0.9395];[0.198];[0.9762];[0.0753];1;[749.49]
26;model4, kernel1: (2,2), kernel2:(17, 17);[0.9698];[0.1026];[0.9241];[0.2482];[0.9687];[0.1078];1;[806.49]
27;model4, kernel1: (7,7), kernel2:(2, 2);[0.9741];[0.0801];[0.937];[0.2121];[0.9718];[0.0904];1;[109.87]
28;model4, kernel1: (7,7), kernel2:(7, 7);[0.9806];[0.0604];[0.9366];[0.2097];[0.9785];[0.0699];1;[272.72]
29;model4, kernel1: (7,7), kernel2:(12, 12);[0.9626];[0.1113];[0.8859];[0.4117];[0.9628];[0.1261];1;[429.13]
30;model4, kernel1: (7,7), kernel2:(17, 17);[0.8635];[0.4611];[0.7927];[0.6933];[0.8612];[0.4532];1;[301.52]
31;model4, kernel1: (12,12), kernel2:(2, 2);[0.9797];[0.0679];[0.9347];[0.2173];[0.976];[0.0795];1;[83.03]
32;model4, kernel1: (12,12), kernel2:(7, 7);[0.8662];[0.4663];[0.8704];[0.449];[0.8691];[0.4635];1;[163.53]
33;model4, kernel1: (12,12), kernel2:(12, 12);[0.8991];[0.3379];[0.7694];[0.7372];[0.8999];[0.3275];1;[209.14]
34;model4, kernel1: (12,12), kernel2:(17, 17);[0.2153];[2.0082];[0.1928];[2.13];[0.2135];[1.9951];1;[100.99]
35;model4, kernel1: (17,17), kernel2:(2, 2);[0.9609];[0.1212];[0.9162];[0.2777];[0.9608];[0.1239];1;[64.62]
36;model4, kernel1: (17,17), kernel2:(7, 7);[0.9679];[0.1059];[0.9005];[0.3199];[0.9644];[0.1143];1;[91.94]
37;model4, kernel1: (17,17), kernel2:(12, 12);[0.2139];[2.0341];[0.1778];[2.1933];[0.2142];[2.0412];1;[64.22]
