;Accuracy;C;G;Time
0;91.9808;0.2;0.001;1756.78
1;94.4406;0.2;0.004;1131.65
2;95.6004;0.2;0.007;936.95
3;96.3504;0.2;0.01;779.82
4;96.8103;0.2;0.014;729.68
5;92.8807;0.4;0.001;1123.78
6;95.2005;0.4;0.004;694.7
7;96.4504;0.4;0.007;594.0
8;97.0703;0.4;0.01;557.53
9;97.5402;0.4;0.014;547.16
10;93.2207;0.6;0.001;954.64
11;95.7604;0.6;0.004;599.25
12;96.8703;0.6;0.007;515.98
13;97.4403;0.6;0.01;490.35
14;97.8202;0.6;0.014;490.02
15;93.5406;0.8;0.001;859.15
16;96.0304;0.8;0.004;544.31
17;97.2003;0.8;0.007;472.52
18;97.6502;0.8;0.01;448.86
19;98.0002;0.8;0.014;452.9
20;93.7806;1.0;0.001;790.87
21;96.2204;1.0;0.004;508.81
22;97.2803;1.0;0.007;442.77
23;97.7502;1.0;0.01;424.71
24;98.1202;1.0;0.014;434.91
25;93.9506;1.2;0.001;744.02
26;96.4204;1.2;0.004;482.67
27;97.3503;1.2;0.007;420.19
28;97.8602;1.2;0.01;406.36
29;98.2202;1.2;0.014;419.8
30;94.0106;1.4;0.001;733.32
31;96.5903;1.4;0.004;475.94
32;97.4703;1.4;0.007;419.03
33;98.0002;1.4;0.01;409.15
34;98.2802;1.4;0.014;428.06
35;94.1306;1.6;0.001;696.26
36;96.7503;1.6;0.004;460.83
37;97.6102;1.6;0.007;405.71
38;98.0402;1.6;0.01;399.26
39;98.3102;1.6;0.014;469.92
40;94.2306;1.8;0.001;664.21
41;96.9003;1.8;0.004;435.08
42;97.6702;1.8;0.007;404.6
43;98.0802;1.8;0.01;397.74
44;98.3602;1.8;0.014;420.13
45;94.2506;2.0;0.001;648.36
46;96.9903;2.0;0.004;419.42
47;97.7802;2.0;0.007;385.56
48;98.0902;2.0;0.01;391.78
49;98.4002;2.0;0.014;403.81
50;94.3906;2.2;0.001;611.41
51;97.0203;2.2;0.004;409.15
52;97.8002;2.2;0.007;370.22
53;98.1402;2.2;0.01;371.12
54;98.4402;2.2;0.014;399.92
55;94.4706;2.4;0.001;593.03
56;96.9903;2.4;0.004;400.9
57;97.8802;2.4;0.007;363.8
58;98.2002;2.4;0.01;367.78
59;98.4702;2.4;0.014;399.09
